Numero de Claves,Comparaciones Promedio
100,6.17
200,7.21
300,7.88
400,8.31
500,8.27
600,8.81
700,8.92
800,8.99
900,8.95
1000,9.25
1100,10.26
1200,9.71
1300,9.83
1400,10.04
1500,9.85
1600,10.05
1700,10.33
1800,10.24
1900,10.48
2000,10.49
2100,10.41
2200,10.64
2300,10.78
2400,11.17
2500,10.7
2600,10.45
2700,10.64
2800,10.46
2900,10.74
3000,11.02
3100,10.85
3200,11.44
3300,11.55
3400,11.32
3500,11.76
3600,11.29
3700,11.44
3800,11.36
3900,11.52
4000,11.51
4100,11.59
4200,11.56
4300,11.39
4400,11.71
4500,11.88
4600,11.9
4700,11.7
4800,11.73
4900,11.56
5000,11.4
5100,11.89
5200,11.81
5300,11.72
5400,11.97
5500,12.17
5600,11.76
5700,11.53
5800,11.73
5900,11.74
6000,12.01
6100,12.24
6200,11.69
6300,12.28
6400,12.09
6500,12.23
6600,12.58
6700,12.16
6800,12.24
6900,12.06
7000,11.87
7100,12.43
7200,12.18
7300,12.08
7400,11.97
7500,11.88
7600,12.56
7700,12.1
7800,12.15
7900,12.27
8000,12.45
8100,12.3
8200,12.23
8300,12.47
8400,12.48
8500,12.55
8600,12.2
8700,12.24
8800,12.41
8900,12.84
9000,12.44
9100,12.88
9200,12.57
9300,12.52
9400,12.66
9500,12.8
9600,12.78
9700,12.74
9800,12.7
9900,13.05
10000,12.7
